"","MetabID","NameANDPutName","Name","Formula","MW","RT","KEGGPathways","PutaID_Formula","PutaID_MzColudHits","PutaID_MassHits","PutaID_KEGG","PutaID_Chemspider","PutaID_BioCyc_asName"," PutaID_BioCyc_asPathw"
"2319","417.12062_5.319","PutID_ChemS_24586_:Bisoxatin Acetate_ppm:0.001","","C12 H29 N5 O3 P2 S2","417.12062","5.319","","C19 H24 N5 P S2_ppm:-1.09_Ifit:54MatchedIso.:3; C16 H23 N3 O8 S_ppm:0.08_Ifit:55MatchedIso.:3; C18 H30 N O2 P3 S_ppm:-0.94_Ifit:55MatchedIso.:3; C18 H28 N O4 P S2_ppm:2.12_Ifit:57MatchedIso.:3; C14 H28 N O9 P S_ppm:-3.88_Ifit:58MatchedIso.:3; C9 H23 N9 O6 S2_ppm:-1.56_Ifit:58MatchedIso.:3; C9 H25 N9 O4 P2 S_ppm:-4.61_Ifit:58MatchedIso.:3; C10 H24 N7 O7 P S_ppm:2.56_Ifit:59MatchedIso.:3; C11 H30 N7 P3 S2_ppm:-2.58_Ifit:60MatchedIso.:3; C12 H29 N5 O3 P2 S2_ppm:4.59_Ifit:61MatchedIso.:3","","","","PutID_ChemS_24586_:Bisoxatin Acetate_ppm:0.001","PutID_BioCyc_apigeninidin 5-O-glucoside_ID:CPD-15272_ppm:4.943","META:PWY-7253_apigeninidin 5-O-glucoside biosynthesis_ref:apigeninidin 5-O-glucoside_compoundUsed:20"
"2320","346.08348_5.323","","","C9 H16 N8 O3 P2","346.08348","5.323","","C14 H19 O8 P_ppm:4.98_Ifit:77MatchedIso.:2; C6 H18 N8 O5 S2_ppm:-1.96_Ifit:80MatchedIso.:2; C13 H18 N2 O7 S_ppm:0.02_Ifit:80MatchedIso.:2; C13 H20 N2 O5 P2_ppm:-3.66_Ifit:81MatchedIso.:2; C7 H21 N6 O4 P3_ppm:-0.67_Ifit:87MatchedIso.:2; C11 H23 O8 P S_ppm:-4.76_Ifit:88MatchedIso.:2; C7 H19 N6 O6 P S_ppm:3_Ifit:89MatchedIso.:2; C8 H15 N10 O2 P S_ppm:-0.86_Ifit:93MatchedIso.:2; C8 H17 N10 P3_ppm:-4.54_Ifit:94MatchedIso.:2; C9 H16 N8 O3 P2_ppm:4.1_Ifit:99MatchedIso.:2","","","","","",""
"2321","230.10481_5.33","PutID_ChemS_30778595_:1-(5-Methoxy-3,8-dihydropyrrolo[2,3-b]indol-1(2H)-yl)ethanone_ppm:0.001; 20182_:Methomidate_ppm:0.001; 66213_:1-Methyl-2,3,4,9-tetrahydro-1H-beta-carboline-3-carboxylic acid_ppm:0.001","","C13 H14 N2 O2","230.10481","5.33","","C7 H15 N6 O P_ppm:1.39_Ifit:55MatchedIso.:2; C13 H14 N2 O2_ppm:-3.1_Ifit:78MatchedIso.:2","","","","PutID_ChemS_30778595_:1-(5-Methoxy-3,8-dihydropyrrolo[2,3-b]indol-1(2H)-yl)ethanone_ppm:0.001; 20182_:Methomidate_ppm:0.001; 66213_:1-Methyl-2,3,4,9-tetrahydro-1H-beta-carboline-3-carboxylic acid_ppm:0.001","",""
"2322","446.16887_5.33","","","C24 H31 O4 P S","446.16887","5.33","","C20 H29 N6 P3_ppm:4.96_Ifit:69MatchedIso.:3; C31 H26 O S_ppm:-3.52_Ifit:76MatchedIso.:3; C26 H28 N2 O P2_ppm:2.65_Ifit:82MatchedIso.:3; C24 H33 O2 P3_ppm:-1.06_Ifit:82MatchedIso.:3; C20 H31 O9 P_ppm:-3.81_Ifit:85MatchedIso.:3; C23 H32 N2 O P2 S_ppm:-4.91_Ifit:88MatchedIso.:3; C25 H27 N4 P S_ppm:-1.2_Ifit:89MatchedIso.:3; C23 H22 N6 O4_ppm:-3.11_Ifit:91MatchedIso.:3; C22 H26 N2 O8_ppm:-0.11_Ifit:91MatchedIso.:3; C24 H31 O4 P S_ppm:1.79_Ifit:94MatchedIso.:3","","","","","",""
"2323","107.04839_5.331","S_N-(4,6-Dimethyl-2-pyrimidinyl)-4-[(E)-(2-hydroxybenzylidene)amino]benzenesulfonamide","S_N-(4,6-Dimethyl-2-pyrimidinyl)-4-[(E)-(2-hydroxybenzylidene)amino]benzenesulfonamide","C5 H5 N3","107.04839","5.331","","C5 H5 N3_ppm:0.38_Ifit:49MatchedIso.:3","PutID_Mz_N4-Acetyl sulfamethazine_simScore:96.7; N-(4,6-Dimethyl-2-pyrimidinyl)-4-({[2-(trifluoromethyl)anilino]carbonyl}amino)benzenesulfonamide_simScore:98; N-(4,6-Dimethyl-2-pyrimidinyl)-4-[(E)-(2-hydroxybenzylidene)amino]benzenesulfonamide_simScore:98.2","","","","",""
"2324","186.10029_5.331","PutID_ChemS_370069_:pro-ala_ppm:0; 370068_:ALA-PRO_ppm:0","","C8 H14 N2 O3","186.10029","5.331","","C8 H14 N2 O3_ppm:-0.83_Ifit:72MatchedIso.:2","","","","PutID_ChemS_370069_:pro-ala_ppm:0; 370068_:ALA-PRO_ppm:0","PutID_BioCyc_L-alanyl-L-proline_ID:CPD-20349_ppm:-0.829",""
"2325","93.03277_5.335","","","C4 H3 N3","93.03277","5.335","","C4 H3 N3_ppm:0.75_Ifit:65MatchedIso.:3","","","","","",""
"2326","359.10002_5.335","PutID_ChemS_30776986_:5-Hydroxy-2-{[(2E)-3-(4-hydroxy-3-methoxyphenyl)-2-propenoyl]amino}-4-methoxybenzoic acid_ppm:0; 35014756_:N-[(2Z)-3-(3,4-Dihydroxyphenyl)-2-propenoyl]-3-hydroxytyrosine_ppm:0; 9199961_:5-Hydroxy-2-{[(2E)-3-(4-hydroxy-3,5-dimethoxyphenyl)-2-propenoyl]amino}benzoic acid_ppm:0","","C10 H21 N3 O9 S","359.10002","5.335","","C13 H14 N9 O2 P_ppm:-2.19_Ifit:70MatchedIso.:2; C14 H23 N3 O2 P2 S_ppm:3.9_Ifit:57MatchedIso.:3; C12 H26 N O5 P S2_ppm:2.84_Ifit:38MatchedIso.:2; C6 H19 N9 O5 P2_ppm:4.41_Ifit:78MatchedIso.:2; C18 H17 N O7_ppm:-1.34_Ifit:52MatchedIso.:2; C10 H23 N3 O7 P2_ppm:-3.07_Ifit:84MatchedIso.:2; C12 H18 N5 O6 P_ppm:1.53_Ifit:74MatchedIso.:2; C12 H28 N O3 P3 S_ppm:-0.71_Ifit:62MatchedIso.:3; C11 H17 N7 O5 S_ppm:-3.25_Ifit:63MatchedIso.:3; C10 H21 N3 O9 S_ppm:0.47_Ifit:66MatchedIso.:3","","","","PutID_ChemS_30776986_:5-Hydroxy-2-{[(2E)-3-(4-hydroxy-3-methoxyphenyl)-2-propenoyl]amino}-4-methoxybenzoic acid_ppm:0; 35014756_:N-[(2Z)-3-(3,4-Dihydroxyphenyl)-2-propenoyl]-3-hydroxytyrosine_ppm:0; 9199961_:5-Hydroxy-2-{[(2E)-3-(4-hydroxy-3,5-dimethoxyphenyl)-2-propenoyl]amino}benzoic acid_ppm:0","",""
"2327","235.08741_5.338","PutID_ChemS_58837617_:(2S)-2-[(1-Carboxyethyl)amino]-4-(dimethylsulfonio)butanoate_ppm:0","","C9 H17 N O4 S","235.08741","5.338","","C5 H15 N7 P2_ppm:4.23_Ifit:30MatchedIso.:2; C11 H14 N3 O P_ppm:-0.16_Ifit:34MatchedIso.:2; C9 H17 N O4 S_ppm:-1.77_Ifit:67MatchedIso.:5","","","","PutID_ChemS_58837617_:(2S)-2-[(1-Carboxyethyl)amino]-4-(dimethylsulfonio)butanoate_ppm:0","PutID_BioCyc_sulfonopine_ID:CPD-15781_ppm:-4288.798",""
"2328","173.01484_5.342","PutID_KEGG_C06333:2-Aminobenzenesulfonate; C06335:4-Aminobenzenesulfonate; C06333; C06335:2-Aminobenzenesulfonate; 4-Aminobenzenesulfonate","","C6 H7 N O3 S","173.01484","5.342","Microbial metabolism in diverse environments;Other","C8 H4 N3 P_ppm:3.2_Ifit:58MatchedIso.:2; C6 H7 N O3 S_ppm:1_Ifit:67MatchedIso.:3","","","PutID_KEGG_C06333:2-Aminobenzenesulfonate; C06335:4-Aminobenzenesulfonate; C06333; C06335:2-Aminobenzenesulfonate; 4-Aminobenzenesulfonate","PutID_ChemS_381241_:Phenylsulfamic acid_ppm:0; 6660_:Orthanilic acid_ppm:0; 8161_:Metanilic Acid_ppm:0; 8166_:Sulfanilic acid_ppm:0","PutID_BioCyc_4-aminobenzenesulfonate_ID:CPD-10427_ppm:1.001; benzenamine sulfate_ID:BENZENAMINE-SULFATE_ppm:1.001; orthanilate_ID:2-AMINOBENZENESULFONATE_ppm:1.001","META:2ASDEG-PWY_orthanilate degradation_ref:orthanilate_compoundUsed:5"
"2329","338.1481_5.344","PutID_ChemS_2299987_:Nicotine glucuronide_ppm:0; 55158_:Bayer E 39 Soluble_ppm:0","","C17 H26 N2 O S2","338.1481","5.344","","C9 H24 N8 O2 P2_ppm:-4.88_Ifit:64MatchedIso.:2; C11 H19 N10 O P_ppm:0.01_Ifit:65MatchedIso.:2; C18 H27 O2 P S_ppm:3.43_Ifit:87MatchedIso.:2; C18 H29 P3_ppm:-0.34_Ifit:88MatchedIso.:2; C10 H23 N6 O5 P_ppm:3.97_Ifit:57MatchedIso.:2; C16 H22 N2 O6_ppm:0.92_Ifit:91MatchedIso.:2; C17 H18 N6 O2_ppm:-3.04_Ifit:89MatchedIso.:2; C9 H22 N8 O4 S_ppm:-1.11_Ifit:48MatchedIso.:2; C11 H27 N6 P S2_ppm:1.4_Ifit:66MatchedIso.:2; C17 H26 N2 O S2_ppm:-1.65_Ifit:87MatchedIso.:2","","","","PutID_ChemS_2299987_:Nicotine glucuronide_ppm:0; 55158_:Bayer E 39 Soluble_ppm:0","",""
"2330","449.18923_5.345","","","C16 H33 N7 O2 P2 S","449.18923","5.345","","C14 H38 N5 O3 P3 S_ppm:-3.55_Ifit:79MatchedIso.:2; C24 H27 N5 O2 S_ppm:1.51_Ifit:79MatchedIso.:2; C15 H37 N3 O6 P2 S_ppm:3.11_Ifit:82MatchedIso.:2; C14 H36 N5 O5 P S2_ppm:-0.71_Ifit:83MatchedIso.:2; C22 H32 N3 O3 P S_ppm:-2.17_Ifit:82MatchedIso.:2; C15 H27 N7 O9_ppm:4.9_Ifit:82MatchedIso.:2; C14 H28 N9 O6 P_ppm:-1.76_Ifit:80MatchedIso.:2; C20 H27 N5 O7_ppm:-4.06_Ifit:86MatchedIso.:2; C16 H31 N7 O4 S2_ppm:2.97_Ifit:92MatchedIso.:2; C16 H33 N7 O2 P2 S_ppm:0.13_Ifit:88MatchedIso.:2","","","","","",""
"2331","213.00953_5.346","S_N-Butylbenzenesulfonamide","S_N-Butylbenzenesulfonamide","C8 H7 N O4 S","213.00953","5.346","","C2 H8 N5 O3 P S_ppm:4.64_Ifit:49MatchedIso.:3; C10 H4 N3 O P_ppm:1.58_Ifit:72MatchedIso.:2; C8 H7 N O4 S_ppm:-0.2_Ifit:63MatchedIso.:4","PutID_Mz_N-Butylbenzenesulfonamide_simScore:99","","","PutID_ChemS_9840_:Indoxyl sulfate_ppm:0","PutID_BioCyc_indoxyl sulfate_ID:CPD-16817_ppm:-0.204",""
"2332","228.11104_5.347","PutID_ChemS_35032807_:4-Hydroxyprolylproline_ppm:0; 3173433_:Prolyl-4-hydroxyproline_ppm:0; 10077215_:Pro-Hyp_ppm:0; 394522_:3-(5-tert-Butyl-3-hydroxy-1,2-oxazol-4-yl)-L-alanine_ppm:0; 59725_:Tetraacetylethylenediamine_ppm:0","","C10 H16 N2 O4","228.11104","5.347","","C10 H16 N2 O4_ppm:0.12_Ifit:48MatchedIso.:4","","","","PutID_ChemS_35032807_:4-Hydroxyprolylproline_ppm:0; 3173433_:Prolyl-4-hydroxyproline_ppm:0; 10077215_:Pro-Hyp_ppm:0; 394522_:3-(5-tert-Butyl-3-hydroxy-1,2-oxazol-4-yl)-L-alanine_ppm:0; 59725_:Tetraacetylethylenediamine_ppm:0","PutID_BioCyc_5-oxo-L-prolyl-L-valine_ID:CPD-20363_ppm:0.124; L-prolyl-trans-4-hydroxy-L-proline_ID:CPD-20360_ppm:0.124",""
"2333","401.25093_5.347","","","C19 H35 N3 O6","401.25093","5.347","","C23 H35 N3 O S_ppm:2.12_Ifit:76MatchedIso.:2; C21 H40 N O2 P S_ppm:-2_Ifit:83MatchedIso.:2; C13 H36 N7 O5 P_ppm:-1.55_Ifit:78MatchedIso.:2; C17 H36 N7 P S_ppm:4.69_Ifit:92MatchedIso.:2; C15 H31 N9 O4_ppm:2.57_Ifit:89MatchedIso.:2; C19 H35 N3 O6_ppm:-4.12_Ifit:90MatchedIso.:2","","","","","",""
"2334","207.17756_5.348","S_N-Acetyl-L-phenylalanine","S_N-Acetyl-L-phenylalanine","","207.17756","5.348","","","PutID_Mz_2-{2-[5-(Ethoxycarbonyl)-2-morpholinoanilino]-2-oxoethoxy}acetic acid_simScore:84.5; N-Acetyl-L-phenylalanine_score:93.4","","","","",""
"2335","169.07384_5.361","PutID_KEGG_C00547:L-Noradrenaline; C00314:Pyridoxine; C00314; C00547:Pyridoxine; L-Noradrenaline","","C8 H11 N O3","169.07384","5.361","Metabolic pathways;Microbial metabolism in diverse environments;Other","C8 H11 N O3_ppm:-0.31_Ifit:91MatchedIso.:2","","","PutID_KEGG_C00547:L-Noradrenaline; C00314:Pyridoxine; C00314; C00547:Pyridoxine; L-Noradrenaline","PutID_ChemS_24193984_:6-Acetyl-2-(hydroxymethyl)-2,3-dihydro-4(1H)-pyridinone_ppm:0; 102750_:5-(2-aminoethyl)-Pyrogallol_ppm:0; 388394_:Norepinephrine_ppm:0; 1025_:Pyridoxine_ppm:0; 4463_:Oxidopamine_ppm:0; 926_:noradrenaline_ppm:0","PutID_BioCyc_pyridoxine_ID:PYRIDOXINE_ppm:-0.313","META:PLPSAL-PWY_pyridoxal 5'-phosphate salvage I_ref:pyridoxine_compoundUsed:7; META:PWY-7204_pyridoxal 5'-phosphate salvage II (plants)_ref:pyridoxine_compoundUsed:15; META:PWY-7282_4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)_ref:pyridoxine_compoundUsed:17; META:PWY0-845_superpathway of pyridoxal 5'-phosphate biosynthesis and salvage_ref:pyridoxine_compoundUsed:31; META:PWY-5499_vitamin B6 degradation_ref:pyridoxine_compoundUsed:40"
"2336","357.15375_5.366","","","C17 H28 N O3 P S","357.15375","5.366","","C9 H24 N7 O6 P_ppm:3.31_Ifit:72MatchedIso.:2; C17 H30 N O P3_ppm:-0.76_Ifit:75MatchedIso.:2; C16 H19 N7 O3_ppm:-3.32_Ifit:79MatchedIso.:2; C15 H23 N3 O7_ppm:0.43_Ifit:83MatchedIso.:2; C13 H28 N O8 P_ppm:-4.2_Ifit:94MatchedIso.:2; C8 H23 N9 O5 S_ppm:-1.49_Ifit:58MatchedIso.:3; C24 H23 N S_ppm:-3.83_Ifit:56MatchedIso.:4; C16 H27 N3 O2 S2_ppm:-2.01_Ifit:59MatchedIso.:4; C10 H28 N7 O P S2_ppm:0.88_Ifit:60MatchedIso.:4; C17 H28 N O3 P S_ppm:2.8_Ifit:64MatchedIso.:4","","","","","",""
"2337","187.13163_5.367","","","C8 H17 N3 O2","187.13163","5.367","","C8 H17 N3 O2_ppm:-2.38_Ifit:87MatchedIso.:3","","","","","",""
"2338","425.3128_5.37","","","C24 H43 N O5","425.3128","5.37","","C25 H47 N S2_ppm:-5.15_Ifit:36MatchedIso.:3; C28 H43 N S_ppm:2.77_Ifit:48MatchedIso.:4; C19 H40 N9 P_ppm:-3.83_Ifit:51MatchedIso.:4; C20 H39 N7 O3_ppm:3.2_Ifit:77MatchedIso.:4; C17 H43 N7 O3 S_ppm:-4.72_Ifit:32MatchedIso.:3; C18 H44 N5 O4 P_ppm:-0.68_Ifit:63MatchedIso.:4; C24 H43 N O5_ppm:-3.11_Ifit:81MatchedIso.:4","","","","","",""
"2339","367.18242_5.376","","","","367.18242","5.376","","","","","","","",""
"2340","156.05348_5.378","PutID_KEGG_C03680; C05568:4-Imidazolone-5-propanoate; Imidazole lactate; C03680:4-Imidazolone-5-propanoate","","C6 H8 N2 O3","156.05348","5.378","Metabolic pathways;Other","C6 H8 N2 O3_ppm:-0.09_Ifit:96MatchedIso.:2","","","PutID_KEGG_C03680; C05568:4-Imidazolone-5-propanoate; Imidazole lactate; C03680:4-Imidazolone-5-propanoate","PutID_ChemS_404046_:Imidazolelactic acid_ppm:0; 55938_:1-Nitroso-1,2,5,6-tetrahydro-3-pyridinecarboxylic acid_ppm:0; 125_:Imidazol-4-one-5-propionic acid_ppm:0; 771_:3-(imidazol-5-yl)lactic acid_ppm:0; 389128_:Imidazolelactate_ppm:0; 8635_:5-Hydroxymethyl-6-methyl-2,4(1H,3H)-pyrimidinedione_ppm:0","PutID_BioCyc_4-imidazolone-5-propanoate_ID:4-IMIDAZOLONE-5-PROPIONATE_ppm:-0.088; imidazole-lactate_ID:IMIDAZOLE-LACTATE_ppm:-0.088","META:HISTDEG-PWY_L-histidine degradation IV_ref:imidazole-lactate_compoundUsed:5; META:PWY-5029_imidazole-lactate degradation_ref:imidazole-lactate_compoundUsed:5; META:HISDEG-PWY_L-histidine degradation I_ref:4-imidazolone-5-propanoate_compoundUsed:8; META:PWY-5030_L-histidine degradation III_ref:4-imidazolone-5-propanoate_compoundUsed:8; META:PWY-5028_L-histidine degradation II_ref:4-imidazolone-5-propanoate_compoundUsed:11; META:PWY-5031_L-histidine degradation V_ref:imidazole-lactate_compoundUsed:26; META:HISHP-PWY_L-histidine degradation VI_ref:4-imidazolone-5-propanoate_compoundUsed:38"
"2341","415.23036_5.382","","","C19 H33 N3 O7","415.23036","5.382","","C23 H35 N3 P2_ppm:-0.62_Ifit:85MatchedIso.:2; C21 H40 N O P3_ppm:-4.6_Ifit:92MatchedIso.:2; C17 H34 N7 O P S_ppm:4.93_Ifit:92MatchedIso.:2; C23 H33 N3 O2 S_ppm:2.45_Ifit:84MatchedIso.:2; C15 H37 N5 O4 S2_ppm:4.02_Ifit:41MatchedIso.:2; C21 H38 N O3 P S_ppm:-1.54_Ifit:91MatchedIso.:2; C15 H39 N5 O2 P2 S_ppm:0.95_Ifit:81MatchedIso.:2; C13 H34 N7 O6 P_ppm:-1.09_Ifit:66MatchedIso.:2; C15 H29 N9 O5_ppm:2.89_Ifit:80MatchedIso.:2; C19 H33 N3 O7_ppm:-3.58_Ifit:98MatchedIso.:2","","","","","",""
"2342","181.04081_5.383","PutID_ChemS_21168792_:3-[(2-Hydroxyethyl)sulfinyl]-L-alanine_ppm:0; 63154_:UNII:5503K54L0R_ppm:0; 64300_:Acamprosate_ppm:0","","C5 H11 N O4 S","181.04081","5.383","","C7 H8 N3 O P_ppm:1.71_Ifit:35MatchedIso.:2; C5 H11 N O4 S_ppm:-0.39_Ifit:70MatchedIso.:6","","","","PutID_ChemS_21168792_:3-[(2-Hydroxyethyl)sulfinyl]-L-alanine_ppm:0; 63154_:UNII:5503K54L0R_ppm:0; 64300_:Acamprosate_ppm:0","PutID_BioCyc_2-hydroxyethiin_ID:CPD-17423_ppm:-0.386; DL-methionine sulfone_ID:CPD0-1940_ppm:-0.386",""
"2343","165.07857_5.389","PutID_KEGG_C19565; C19578:4-Hydroxy-1-(3-pyridinyl)-1-butanone; 5-(3-Pyridyl)-2-hydroxytetrahydrofuran; C00079:L-Phenylalanine; C02265:D-Phenylalanine; C00079; C02265:L-Phenylalanine; D-Phenylalanine","","C9 H11 N O2","165.07857","5.389","Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Tropane, piperidine and pyridine alkaloid biosynthesis;Phenylalanine metabolism;ABC transporters;Central carbon metabolism in cancer;Biosynthesis of alkaloids derived from shikimate pathway;Protein digestion and absorption;Other","C3 H12 N5 O P_ppm:3.77_Ifit:50MatchedIso.:2; C9 H11 N O2_ppm:-2.48_Ifit:84MatchedIso.:2","","","PutID_KEGG_C19565; C19578:4-Hydroxy-1-(3-pyridinyl)-1-butanone; 5-(3-Pyridyl)-2-hydroxytetrahydrofuran; C00079:L-Phenylalanine; C02265:D-Phenylalanine; C00079; C02265:L-Phenylalanine; D-Phenylalanine","PutID_ChemS_598357_:(3R)-3-Amino-3-phenylpropanoic acid_ppm:0; 598358_:(3S)-3-Amino-3-phenylpropanoic acid_ppm:0; 21108245_:methyl n-methylanthranilate_ppm:0; 13860074_:Tricaine_ppm:0; 21106112_:Anaesthesine_ppm:0; 3167_:Ethenzamide_ppm:0; 64639_:D-(+)-Phenylalanine_ppm:0; 13854242_:Benzocaine_ppm:0; 5910_:L-(-)-Phenylalanine_ppm:0; 969_:DL-Phenylalanine_ppm:0","PutID_BioCyc_(3S)-β-phenylalanine_ID:CPD-14668_ppm:-2.479; D-phenylalanine_ID:CPD-216_ppm:-2.479; L-phenylalanine_ID:PHE_ppm:-2.479; (3R)-β-phenylalanine_ID:CPD-14474_ppm:-2.479","META:PWY-3462_L-phenylalanine biosynthesis II_ref:L-phenylalanine_compoundUsed:9; META:PHESYN_L-phenylalanine biosynthesis I_ref:L-phenylalanine_compoundUsed:9; META:PWY-7064_3-amino-3-phenylpropanoyl-CoA biosynthesis_ref:(3R)-β-phenylalanine; L-phenylalanine_compoundUsed:10; META:PWY-6432_curcuminoid biosynthesis_ref:L-phenylalanine_compoundUsed:10; META:PWY1F-467_phenylpropanoid biosynthesis, initial reactions_ref:L-phenylalanine_compoundUsed:10; META:PWY-6457_trans-cinnamoyl-CoA biosynthesis_ref:L-phenylalanine_compoundUsed:10; META:PWY-7169_hyperxanthone E biosynthesis_ref:L-phenylalanine_compoundUsed:11; META:PWY-6444_benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)_ref:L-phenylalanine_compoundUsed:12; META:PWY-3481_superpathway of L-phenylalanine and L-tyrosine biosynthesis_ref:L-phenylalanine_compoundUsed:12; META:PWY-7520_terrequinone A biosynthesis_ref:L-phenylalanine_compoundUsed:12; META:PWY-5081_L-tryptophan degradation VIII (to tryptophol)_ref:L-phenylalanine_compoundUsed:12; META:PWY-6446_benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)_ref:L-phenylalanine_compoundUsed:12; META:PWY-7158_L-phenylalanine degradation V_ref:L-phenylalanine_compoundUsed:12; META:PWY-7432_L-phenylalanine biosynthesis III (cytosolic, plants)_ref:L-phenylalanine_compoundUsed:12; META:PWY-6443_benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)_ref:L-phenylalanine_compoundUsed:13; META:PWY-1121_suberin monomers biosynthesis_ref:L-phenylalanine_compoundUsed:13; META:PWY-6134_L-tyrosine biosynthesis IV_ref:L-phenylalanine_compoundUsed:13; META:PWY-7824_prunasin and amygdalin biosynthesis_ref:L-phenylalanine_compoundUsed:15; META:PWY-6628_superpathway of L-phenylalanine biosynthesis_ref:L-phenylalanine_compoundUsed:17; META:ANAPHENOXI-PWY_L-phenylalanine degradation II (anaerobic)_ref:L-phenylalanine_compoundUsed:17; META:PHENYLALANINE-DEG1-PWY_L-phenylalanine degradation I (aerobic)_ref:L-phenylalanine_compoundUsed:17; META:PWY-5751_phenylethanol biosynthesis_ref:L-phenylalanine_compoundUsed:19; META:PWY-2821_glucosinolate biosynthesis from phenylalanine_ref:L-phenylalanine_compoundUsed:21; META:PWY-6318_L-phenylalanine degradation IV (mammalian, via side chain)_ref:L-phenylalanine_compoundUsed:23; META:PWY-5883_ephedrine biosynthesis_ref:L-phenylalanine_compoundUsed:24; META:PWY-5082_L-methionine degradation III_ref:L-phenylalanine_compoundUsed:24; META:PWY-7704_viridicatin biosynthesis_ref:L-phenylalanine_compoundUsed:27; META:PWY-6495_ergotamine biosynthesis_ref:L-phenylalanine_compoundUsed:28; META:PWY-6503_superpathway of ergotamine biosynthesis_ref:L-phenylalanine_compoundUsed:30; META:PWY-5788_indole-3-acetate inactivation V_ref:L-phenylalanine_compoundUsed:31; META:PWY-7186_superpathway of scopolin and esculin biosynthesis_ref:L-phenylalanine_compoundUsed:32; META:PWY-7626_bacilysin biosynthesis_ref:L-phenylalanine_compoundUsed:36; META:PWY-7275_L-homophenylalanine biosynthesis_ref:L-phenylalanine_compoundUsed:38; META:PWY-5079_L-phenylalanine degradation III_ref:L-phenylalanine_compoundUsed:40; META:PWY-7668_apicidin F biosynthesis_ref:L-phenylalanine_compoundUsed:40; META:COMPLETE-ARO-PWY_superpathway of aromatic amino acid biosynthesis_ref:L-phenylalanine_compoundUsed:43; META:ALL-CHORISMATE-PWY_superpathway of chorismate metabolism_ref:L-phenylalanine_compoundUsed:44; META:PWY-7533_gliotoxin biosynthesis_ref:L-phenylalanine_compoundUsed:51; META:PWY-6220_jasmonoyl-amino acid conjugates biosynthesis I_ref:L-phenylalanine_compoundUsed:52; META:BENZCOA-PWY_anaerobic aromatic compound degradation (Thauera aromatica)_ref:L-phenylalanine_compoundUsed:56; META:PWY-6234_superpathway of jasmonoyl-amino acid conjugates biosynthesis_ref:L-phenylalanine_compoundUsed:57; META:PWY-6003_gramicidin S biosynthesis_ref:L-phenylalanine_compoundUsed:57; META:PWY-6219_indole-3-acetate inactivation VIII_ref:L-phenylalanine_compoundUsed:62; META:PWY-7665_aureobasidin A biosynthesis_ref:L-phenylalanine_compoundUsed:70; META:PWY-1782_superpathway of indole-3-acetate conjugate biosynthesis_ref:L-phenylalanine_compoundUsed:71; META:TRNA-CHARGING-PWY_tRNA charging_ref:L-phenylalanine_compoundUsed:97"
"2344","391.17439_5.389","","","C19 H25 N3 O6","391.17439","5.389","","C11 H29 N5 O8 S_ppm:1.81_Ifit:46MatchedIso.:2; C12 H27 N9 O2 P2_ppm:-4.87_Ifit:51MatchedIso.:2; C12 H25 N9 O4 S_ppm:-1.61_Ifit:52MatchedIso.:2; C13 H26 N7 O5 P_ppm:2.78_Ifit:59MatchedIso.:2; C14 H30 N7 P S2_ppm:0.56_Ifit:64MatchedIso.:2; C17 H30 N O7 P_ppm:-4.08_Ifit:79MatchedIso.:2; C21 H30 N O2 P S_ppm:2.31_Ifit:80MatchedIso.:2; C20 H21 N7 O2_ppm:-3.28_Ifit:80MatchedIso.:2; C21 H32 N P3_ppm:-0.94_Ifit:82MatchedIso.:2; C19 H25 N3 O6_ppm:0.14_Ifit:82MatchedIso.:2","","","","","",""
"2345","172.07486_5.393","","","","172.07486","5.393","","","","","","","",""
"2346","97.05291_5.396","S_1-{2-[(1-Methyl-4-nitro-1H-imidazol-5-yl)amino]ethyl}tetrahydro-2H-imidazol-2-one","S_1-{2-[(1-Methyl-4-nitro-1H-imidazol-5-yl)amino]ethyl}tetrahydro-2H-imidazol-2-one","C5 H7 N O","97.05291","5.396","","C5 H7 N O_ppm:1.52_Ifit:83MatchedIso.:2","PutID_Mz_N-(1-Methyl-1H-pyrazol-5-yl)-3-phenylpropanamide_simScore:81.9; 1-{2-[(1-Methyl-4-nitro-1H-imidazol-5-yl)amino]ethyl}tetrahydro-2H-imidazol-2-one_simScore:85","","","PutID_ChemS_81208_:oxazole, 2,5-dimethyl_ppm:0; 28059_:4,5-dimethyloxazole_ppm:0; 82697_:3-Hydroxy-4-pentenenitrile_ppm:0; 122556_:2,4-Dimethyloxazole_ppm:0","",""
